date,1. open,2. high,3. low,4. close,5. volume
2020-04-15,16.0,17.8,15.4,17.35,471745.0
2020-04-14,16.47,17.15,16.19,16.46,333468.0
2020-04-13,16.48,16.48,15.55,16.01,335490.0
2020-04-09,16.56,17.25,16.18,16.57,428596.0
2020-04-08,16.48,16.56,15.88,16.12,732957.0
2020-04-07,17.71,17.78,16.02,16.34,636299.0
2020-04-06,18.35,18.94,16.63,16.74,396011.0
2020-04-03,16.82,17.55,16.31,17.48,278806.0
2020-04-02,16.32,17.15,16.18,17.02,267015.0
2020-04-01,16.01,16.69,15.76,16.47,212066.0
2020-03-31,16.25,17.76,16.03,16.98,448409.0
2020-03-30,15.5,16.26,15.0,16.16,341494.0
2020-03-27,17.02,17.41,15.58,15.7,318977.0
2020-03-26,18.2,19.28,17.76,18.13,293679.0
2020-03-25,17.46,18.635,16.6,17.79,252613.0
2020-03-24,16.37,17.79,15.91,16.82,213226.0
2020-03-23,15.78,16.125,14.94,15.29,274346.0
2020-03-20,15.54,17.4,15.12,16.36,450462.0
2020-03-19,15.66,17.42,14.05,15.16,414403.0
2020-03-18,17.91,18.25,15.4,16.22,368366.0
2020-03-17,17.82,19.34,16.7201,19.32,422280.0
2020-03-16,18.84,20.97,17.15,17.37,385860.0
2020-03-13,22.1,22.19,19.75,21.34,292511.0
2020-03-12,21.88,22.56,19.28,19.84,583875.0
2020-03-11,24.82,25.4699,23.43,23.79,303996.0
2020-03-10,24.56,25.85,23.51,25.79,367306.0
2020-03-09,25.85,26.0,22.89,22.9,691303.0
2020-03-06,29.47,30.08,28.13,28.28,456710.0
2020-03-05,30.82,31.33,29.94,30.72,213783.0
2020-03-04,30.11,31.41,30.05,31.36,226372.0
2020-03-03,30.09,31.21,29.5,29.98,366821.0
2020-03-02,29.39,30.2,28.37,30.14,304718.0
2020-02-28,29.1,29.65,28.02,28.98,349227.0
2020-02-27,31.16,31.3,29.65,29.8,401373.0
2020-02-26,31.93,32.64,31.49,31.81,203000.0
2020-02-25,33.47,33.6,31.33,31.62,405864.0
2020-02-24,32.5,33.26,31.5,32.89,224049.0
2020-02-21,33.45,34.29,33.3,34.24,255078.0
2020-02-20,33.0,34.05,32.1,33.9,325905.0
2020-02-19,31.64,33.11,31.49,32.8,358607.0
2020-02-18,31.05,31.85,30.5566,31.26,241619.0
2020-02-14,31.29,31.7576,31.04,31.19,302522.0
2020-02-13,32.07,32.4,30.83,31.12,515705.0
2020-02-12,32.03,32.77,31.69,32.73,254502.0
2020-02-11,32.9,32.94,31.6397,31.82,383202.0
2020-02-10,33.16,33.49,32.54,33.09,251673.0
2020-02-07,33.0,33.85,32.5,33.32,363972.0
2020-02-06,32.95,33.45,31.9,32.46,281637.0
2020-02-05,32.51,32.92,31.75,32.47,400595.0
2020-02-04,33.96,34.79,31.63,32.05,872056.0
2020-02-03,30.94,33.8,30.94,33.13,479264.0
2020-01-31,31.12,31.33,30.19,30.67,173822.0
2020-01-30,30.63,31.67,30.3,31.66,227973.0
2020-01-29,31.54,32.42,30.94,30.95,371860.0
2020-01-28,30.29,31.4504,29.81,31.35,327590.0
2020-01-27,29.62,29.91,28.54,29.74,542850.0
2020-01-24,31.61,31.97,30.0012,30.29,329724.0
2020-01-23,32.77,33.15,31.61,31.69,517470.0
2020-01-22,32.75,33.92,32.47,32.96,543157.0
2020-01-21,33.3,33.85,32.32,32.45,503345.0
2020-01-17,32.64,33.7,32.5,33.05,408643.0
2020-01-16,32.09,33.4,32.0,32.9,388730.0
2020-01-15,33.49,33.7367,31.81,32.03,549743.0
2020-01-14,34.3,34.56,32.8,33.65,653974.0
2020-01-13,36.16,36.23,34.4,34.54,580131.0
2020-01-10,36.87,37.44,36.1,36.19,373818.0
2020-01-09,36.1,37.03,35.75,36.84,349207.0
2020-01-08,34.95,36.25,34.94,35.81,344227.0
2020-01-07,35.53,36.13,34.61,35.3,463168.0
2020-01-06,34.55,36.34,34.0,35.83,401932.0
2020-01-03,35.5,35.79,33.66,35.36,733603.0
2020-01-02,36.37,37.73,35.42,36.36,547252.0
2019-12-31,36.23,36.81,35.6107,36.25,240945.0
2019-12-30,36.52,36.93,35.12,36.27,533251.0
2019-12-27,38.02,38.09,36.01,36.38,689002.0
2019-12-26,37.11,39.1,36.8,37.75,1143258.0
2019-12-24,36.43,38.8,36.1777,36.72,575326.0
2019-12-23,33.81,36.52,33.4314,36.27,729963.0
2019-12-20,33.85,34.0,32.94,33.73,506069.0
2019-12-19,33.27,34.46,32.76,33.55,575058.0
2019-12-18,31.19,33.98,31.17,33.01,989769.0
2019-12-17,30.47,31.29,29.7533,31.13,788865.0
2019-12-16,30.38,30.85,29.61,30.53,579206.0
2019-12-13,29.26,31.145,28.81,30.04,939579.0
2019-12-12,27.44,28.98,27.16,28.59,774508.0
2019-12-11,27.1,27.8959,26.6,27.13,374524.0
2019-12-10,28.58,28.755,27.05,27.07,493952.0
2019-12-09,28.76,28.9493,27.22,28.58,656267.0
2019-12-06,27.39,28.7011,27.15,28.41,620436.0
2019-12-05,26.4,27.49,26.2856,26.92,571913.0
2019-12-04,25.27,26.97,24.9901,26.42,439603.0
2019-12-03,24.64,24.92,24.0027,24.8,435789.0
2019-12-02,26.01,26.9,24.65,24.76,363486.0
2019-11-29,26.62,26.95,25.85,25.85,257171.0
2019-11-27,24.9,27.12,24.75,26.69,740397.0
2019-11-26,25.01,25.22,24.07,25.1,876330.0
2019-11-25,24.94,25.96,24.67,25.23,499469.0
2019-11-22,25.07,25.88,24.4,25.0,298975.0
2019-11-21,25.1,25.2,24.36,24.99,335844.0
2019-11-20,23.71,25.08,23.58,25.08,771649.0
2019-11-19,22.63,23.4,22.01,23.37,339958.0
2019-11-18,23.49,23.49,22.3,22.6,320272.0
2019-11-15,23.06,23.55,22.2,23.24,409799.0
2019-11-14,24.19,24.35,22.66,22.75,480545.0
2019-11-13,24.51,24.9,24.15,24.26,481793.0
2019-11-12,25.1,25.69,24.11,24.71,503062.0
2019-11-11,23.73,25.58,23.68,25.17,645570.0
2019-11-08,23.75,23.79,23.21,23.6,245559.0
2019-11-07,23.72,24.35,23.52,23.81,191416.0
2019-11-06,24.04,24.08,23.165,23.36,208804.0
2019-11-05,23.89,24.78,23.8,24.22,262505.0
2019-11-04,23.08,24.36,23.07,23.9,473283.0
2019-11-01,23.01,23.3,22.21,22.66,467173.0
2019-10-31,22.95,23.2,22.43,22.9,373935.0
2019-10-30,23.16,23.3647,22.5,23.18,342307.0
