Date,Open,Close,High,Low,Volume
2019-05-01,5321.94,5383.2,5402,5316.2,17217.473216
2019-05-02,5383.2,5492.87,5538,5370,22795.787835
2019-05-03,5494.81,5772.69,5844,5477.57,46297.172849
2019-05-04,5770.62,5829.45,5900,5587.45,39682.408991
2019-05-05,5829.83,5775.62,5839.9,5696,23822.543775
2019-05-06,5773.18,5747.79,5805,5619.14,25256.596325
2019-05-07,5749.92,5846.34,6028.41,5747.74,39905.064422
2019-05-08,5846.34,5987.29,6014.72,5772.2,23074.05152
2019-05-09,5986.66,6209.18,6224.55,5983.71,27453.011436
2019-05-10,6209.95,6373.33,6468.92,6172,36623.61079
2019-05-11,6375.16,7076.22,7343.99,6372.85,74022.424393
2019-05-12,7076.24,6967.31,7521.78,6750,86948.975339
2019-05-13,6968.24,7790.71,8100,6870,85804.735333
2019-05-14,7795.62,7947.56,8366,7599.56,76583.722603
2019-05-15,7945.26,8169.87,8249,7850,37884.327211
2019-05-16,8169.08,7866.59,8320,7705,69630.513996
2019-05-17,7868.67,7355.26,7925,6913,88752.008159
2019-05-18,7355.28,7257.45,7458,7156.61,37054.944779
2019-05-19,7257.32,8148.48,8275.09,7243.08,65577.442058
2019-05-20,8147.94,7938.15,8156.03,7553,65859.208564
2019-05-21,7937.16,7904.87,8042.32,7771,52301.752247
2019-05-22,7904.48,7628.43,8016,7465,49136.994589
2019-05-23,7627.8,7851.51,7940.98,7461,49648.184701
2019-05-24,7849.95,7964.87,8130,7766,46664.785325
2019-05-25,7964.52,8025.41,8091.8,7908.34,28414.328817
2019-05-26,8023,8614.43,8740,7833.42,49652.144567
2019-05-27,8612.54,8756.32,8908.32,8589,51886.768793
2019-05-28,8752.52,8715.64,8798.49,8510.63,31470.551534
2019-05-29,8716.87,8645.68,8750,8406.6,33880.865922
2019-05-30,8646.5,8269.54,9074.26,8005,70379.998521
2019-05-31,8267.1,8555,8594,8108.5,44727.49162
2019-06-01,8555,8544.07,8626,8442.36,31868.234157
2019-06-02,8545.1,8725.98,8814.78,8524,27835.133265
2019-06-03,8726,8115.82,8800.95,8080.8,45692.965104
2019-06-04,8115.66,7687.03,8115.66,7481.02,74143.948941
2019-06-05,7687.04,7776.5,7896.7,7572.78,48679.656455
2019-06-06,7778.08,7786.7,7868.13,7444.58,36624.118747
2019-06-07,7787.57,7980.53,8100,7737.49,33942.225658
2019-06-08,7978.94,7893.62,8044.65,7751,22657.329634
2019-06-09,7895.28,7628.13,7935,7506.66,31568.465157
2019-06-10,7627.57,7982.75,8020,7511,36756.078468
2019-06-11,7981,7884.9,8010,7692.23,30334.999427
2019-06-12,7884.9,8127.64,8200,7788.99,41597.082622
2019-06-13,8127.64,8218.54,8309.82,8010.03,30467.764341
2019-06-14,8216.44,8650,8684.41,8144.32,39835.246255
2019-06-15,8650.88,8808.7,8864.99,8567.63,31791.636039
2019-06-16,8810.77,8953.33,9333,8760,63289.251219
2019-06-17,8953,9313.96,9444,8950,47895.485374
2019-06-18,9312.13,9081.55,9336.36,8950,51554.569401
2019-06-19,9081.97,9255.49,9304,8960,32147.706495
2019-06-20,9253.76,9517.12,9590,9175.2,34556.053982
2019-06-21,9518.06,10159.86,10174.99,9518.06,50484.415892
2019-06-22,10159.86,10729.5,11160,9921.72,104169.447976
2019-06-23,10729,10906.07,11392.64,10555.18,57445.323945
2019-06-24,10905.95,11056.59,11143.63,10620.8,43101.045285
2019-06-25,11056.59,11820.86,11850,11026,61276.686648
2019-06-26,11821.28,13093.8,13970,11741,155930.147386
2019-06-27,13098.38,11329.99,13478.04,10525.1,173894.820889
